rank	word	score	sources	googleRank	wordfreqRank	cocaRank
190	rep	0.490801	google,wordfreq,coca	339	307	161
191	led	0.491558	google,wordfreq	168	92	
192	pen	0.493957	google,wordfreq,coca	311	227	187
193	iii	0.495933	google,wordfreq	143	154	
194	met	0.498277	google,wordfreq	181	93	
195	nov	0.498819	google,wordfreq	79	282	
196	max	0.500442	google,wordfreq	145	167	
197	tom	0.501930	google,wordfreq	166	134	
198	feb	0.504726	google,wordfreq	92	280	
199	ban	0.505276	google,wordfreq,coca	381	201	176
200	oak	0.506403	google,wordfreq,coca	275	328	189
201	mac	0.507341	google,wordfreq	142	198	
202	mar	0.510182	google,wordfreq	97	291	
203	sub	0.510272	google,wordfreq	167	163	
204	ltd	0.510723	google,wordfreq	127	238	
205	won	0.512527	google,wordfreq	213	87	
206	lee	0.513564	google,wordfreq	178	155	
207	mid	0.514286	google,wordfreq	192	132	
208	aug	0.514917	google,wordfreq	100	303	
209	bob	0.517848	google,wordfreq	179	169	
210	est	0.518254	google,wordfreq	140	242	
211	pin	0.518308	google,wordfreq,coca	248	262	218
212	joe	0.519832	google,wordfreq	195	147	
213	las	0.520644	google,wordfreq	159	216	
214	ads	0.522177	google,wordfreq	149	240	
215	min	0.522493	google,wordfreq	160	221	
216	dot	0.523088	google,wordfreq,coca	235	342	211
217	rob	0.524125	google,wordfreq,coca	302	234	209
218	jim	0.526416	google,wordfreq	193	175	
219	vol	0.527408	google,wordfreq	177	208	
220	des	0.528039	google,wordfreq	199	170	
221	com	0.528220	google,wordfreq	117	321	
222	del	0.528806	google,wordfreq	194	182	
223	bin	0.530925	google,wordfreq	147	276	
224	lip	0.531972	google,wordfreq,coca	509	318	130
225	spy	0.532332	google,wordfreq,coca	279	279	214
226	rid	0.534407	google,wordfreq,coca	503	195	156
227	toe	0.537067	google,wordfreq,coca	342	346	184
228	apr	0.537554	google,wordfreq	102	383	
229	sue	0.538375	google,wordfreq,coca	400	283	177
230	inn	0.539989	google,wordfreq	126	348	
231	sec	0.540260	google,wordfreq	186	239	
232	tel	0.543281	google,wordfreq	137	340	
233	les	0.543597	google,wordfreq	220	189	
234	dan	0.543957	google,wordfreq	224	183	
235	bbc	0.544093	google,wordfreq	227	178	
236	rat	0.545815	google,wordfreq,coca	415	294	175
237	pdf	0.547024	google,wordfreq	114	396	
238	ups	0.549684	google,wordfreq	211	228	
239	don	0.550947	google,wordfreq	243	174	
240	ben	0.551398	google,wordfreq	251	161	
